Broker: 2.2536560855972643 watts, PV: 6.227260764920404 watts, Broker/PV in kW: 0.01kW, timestamp: 1584724567129 
Broker: 989.0824572227951 watts, PV: 11.211317148824556 watts, Broker/PV in kW: 1kW, timestamp: 1584724670591 
Broker: 990.3684973255657 watts, PV: 14.238905780783803 watts, Broker/PV in kW: 1kW, timestamp: 1584724670695 
Broker: 990.5654460286436 watts, PV: 7.131012403617598 watts, Broker/PV in kW: 1kW, timestamp: 1584724670811 
Broker: 991.4534469453449 watts, PV: 18.13814406456142 watts, Broker/PV in kW: 1.01kW, timestamp: 1584724670900 
Broker: 991.8704370743901 watts, PV: 6.7217562104799145 watts, Broker/PV in kW: 1kW, timestamp: 1584724671013 
Broker: 993.3341771844895 watts, PV: 6.28025515244063 watts, Broker/PV in kW: 1kW, timestamp: 1584724671105 
Broker: 994.7511849245126 watts, PV: 11.016181813726309 watts, Broker/PV in kW: 1.01kW, timestamp: 1584724671209 
Broker: 994.7792623011819 watts, PV: 6.873835424146546 watts, Broker/PV in kW: 1kW, timestamp: 1584724671312 
Broker: 996.5428105182086 watts, PV: 3.915507578195263 watts, Broker/PV in kW: 1kW, timestamp: 1584724671432 
Broker: 996.5854411676983 watts, PV: 19.160453236061286 watts, Broker/PV in kW: 1.02kW, timestamp: 1584724671525 
Broker: 998.5064373728096 watts, PV: 7.6755491400379805 watts, Broker/PV in kW: 1.01kW, timestamp: 1584724671628 
Broker: 999.6245283595867 watts, PV: 12.838240146369294 watts, Broker/PV in kW: 1.01kW, timestamp: 1584724671725 
Broker: 999.728360954364 watts, PV: 11.967817240916151 watts, Broker/PV in kW: 1.01kW, timestamp: 1584724671831 
Broker: 1000.0670516311397 watts, PV: 6.352311188061686 watts, Broker/PV in kW: 1.01kW, timestamp: 1584724671941 
Broker: 1000.6504150259408 watts, PV: 10.34629667137331 watts, Broker/PV in kW: 1.01kW, timestamp: 1584724672034 
Broker: 1002.215659835667 watts, PV: 16.290893220268327 watts, Broker/PV in kW: 1.02kW, timestamp: 1584724672135 
Broker: 1003.3757112024998 watts, PV: 2.9579649979046474 watts, Broker/PV in kW: 1.01kW, timestamp: 1584724672241 
Broker: 1004.0375280458892 watts, PV: 10.025418894743874 watts, Broker/PV in kW: 1.01kW, timestamp: 1584724672346 
Broker: 1004.1770896553406 watts, PV: 16.62491665466263 watts, Broker/PV in kW: 1.02kW, timestamp: 1584724672445 
Broker: 1005.2154678358219 watts, PV: 15.433267514030904 watts, Broker/PV in kW: 1.02kW, timestamp: 1584724672544 
Broker: 1005.4193990623864 watts, PV: 18.61121892456263 watts, Broker/PV in kW: 1.02kW, timestamp: 1584724672650 
Broker: 1005.6409846962576 watts, PV: 6.822489470996196 watts, Broker/PV in kW: 1.01kW, timestamp: 1584724672750 
Broker: 1006.5368540602204 watts, PV: 15.402125085788803 watts, Broker/PV in kW: 1.02kW, timestamp: 1584724672851 
Broker: 1007.1052470878273 watts, PV: 16.732371490021976 watts, Broker/PV in kW: 1.02kW, timestamp: 1584724672952 
Broker: 1008.186259024086 watts, PV: 11.329168100289557 watts, Broker/PV in kW: 1.02kW, timestamp: 1584724673057 
Broker: 1008.7706774478576 watts, PV: 13.21420414415682 watts, Broker/PV in kW: 1.02kW, timestamp: 1584724673158 
Broker: 1010.5061072402399 watts, PV: 4.758608385972267 watts, Broker/PV in kW: 1.02kW, timestamp: 1584724673264 
Broker: 1010.5509033655884 watts, PV: 3.170611237599168 watts, Broker/PV in kW: 1.01kW, timestamp: 1584724673362 
Broker: 1012.1218956142427 watts, PV: 6.388333493131282 watts, Broker/PV in kW: 1.02kW, timestamp: 1584724673464 
Broker: 1012.3803959348296 watts, PV: 0.31814453433947953 watts, Broker/PV in kW: 1.01kW, timestamp: 1584724673569 
Broker: 1013.1864115596517 watts, PV: 12.954404205370832 watts, Broker/PV in kW: 1.03kW, timestamp: 1584724673666 
Broker: 1014.3229350069012 watts, PV: 12.6923060762405 watts, Broker/PV in kW: 1.03kW, timestamp: 1584724673773 
Broker: 1014.8727381894333 watts, PV: 13.449722934122587 watts, Broker/PV in kW: 1.03kW, timestamp: 1584724673874 
Broker: 1016.1161557579902 watts, PV: 3.997908210820378 watts, Broker/PV in kW: 1.02kW, timestamp: 1584724673978 
Broker: 1017.132722119673 watts, PV: 12.213773758340185 watts, Broker/PV in kW: 1.03kW, timestamp: 1584724674080 
Broker: 1018.0936866561655 watts, PV: 6.437945339050102 watts, Broker/PV in kW: 1.02kW, timestamp: 1584724674180 
Broker: 1018.2034378723672 watts, PV: 6.212593332922145 watts, Broker/PV in kW: 1.02kW, timestamp: 1584724674286 
Broker: 1019.7337961188305 watts, PV: 5.792339665601771 watts, Broker/PV in kW: 1.03kW, timestamp: 1584724674390 
Broker: 1021.6224110679634 watts, PV: 12.964800897251244 watts, Broker/PV in kW: 1.03kW, timestamp: 1584724674491 
Broker: 1022.627901060811 watts, PV: 19.40776370219993 watts, Broker/PV in kW: 1.04kW, timestamp: 1584724674594 
Broker: 1022.879049837109 watts, PV: 19.450136771712437 watts, Broker/PV in kW: 1.04kW, timestamp: 1584724674697 
Broker: 1023.9158547852279 watts, PV: 1.3888742155713185 watts, Broker/PV in kW: 1.03kW, timestamp: 1584724674795 
Broker: 1025.3164852815107 watts, PV: 9.313963931296993 watts, Broker/PV in kW: 1.03kW, timestamp: 1584724674902 
Broker: 1027.122086119243 watts, PV: 4.092534357431368 watts, Broker/PV in kW: 1.03kW, timestamp: 1584724674995 
Broker: 1027.7156530432278 watts, PV: 2.5310311018294795 watts, Broker/PV in kW: 1.03kW, timestamp: 1584724675097 
Broker: 1028.6869040100823 watts, PV: 15.626923702712334 watts, Broker/PV in kW: 1.04kW, timestamp: 1584724675198 
Broker: 1029.2168056230698 watts, PV: 13.44164912057976 watts, Broker/PV in kW: 1.04kW, timestamp: 1584724675305 
Broker: 1029.236598236682 watts, PV: 14.104423080670006 watts, Broker/PV in kW: 1.04kW, timestamp: 1584724675409 
Broker: 1030.3053287787375 watts, PV: 4.308860745643002 watts, Broker/PV in kW: 1.03kW, timestamp: 1584724675508 
Broker: 1032.1668598910892 watts, PV: 14.025054426568353 watts, Broker/PV in kW: 1.05kW, timestamp: 1584724675615 
Broker: 1032.937320262093 watts, PV: 11.86070460314573 watts, Broker/PV in kW: 1.04kW, timestamp: 1584724675718 
Broker: 1033.7505877061267 watts, PV: 14.771944519625816 watts, Broker/PV in kW: 1.05kW, timestamp: 1584724675829 
Broker: 1035.1482061716106 watts, PV: 17.983450414235982 watts, Broker/PV in kW: 1.05kW, timestamp: 1584724675921 
Broker: 1036.2347295423672 watts, PV: 3.1998716650522674 watts, Broker/PV in kW: 1.04kW, timestamp: 1584724676028 
Broker: 1037.4646655801348 watts, PV: 8.07188430411447 watts, Broker/PV in kW: 1.05kW, timestamp: 1584724676126 
Broker: 1037.863431178993 watts, PV: 19.34209756730255 watts, Broker/PV in kW: 1.06kW, timestamp: 1584724676230 
Broker: 1038.7003134773213 watts, PV: 18.77450317689618 watts, Broker/PV in kW: 1.06kW, timestamp: 1584724676336 
Broker: 1039.6216287133154 watts, PV: 13.183984002285056 watts, Broker/PV in kW: 1.05kW, timestamp: 1584724676442 
Broker: 1040.4132798389908 watts, PV: 12.934200736923458 watts, Broker/PV in kW: 1.05kW, timestamp: 1584724676554 
Broker: 1041.4581296119459 watts, PV: 6.137488519338299 watts, Broker/PV in kW: 1.05kW, timestamp: 1584724676642 
Broker: 1042.988335132939 watts, PV: 4.688355540970868 watts, Broker/PV in kW: 1.05kW, timestamp: 1584724676750 
Broker: 1044.020476284302 watts, PV: 7.829091760648947 watts, Broker/PV in kW: 1.05kW, timestamp: 1584724676852 
Broker: 1044.1675331815386 watts, PV: 19.40721422772878 watts, Broker/PV in kW: 1.06kW, timestamp: 1584724676951 
Broker: 1045.2658627501467 watts, PV: 1.5273202939406438 watts, Broker/PV in kW: 1.05kW, timestamp: 1584724677052 
Broker: 1046.8056813605474 watts, PV: 16.638613334950463 watts, Broker/PV in kW: 1.06kW, timestamp: 1584724677156 
Broker: 1047.2295789843765 watts, PV: 2.724659196887149 watts, Broker/PV in kW: 1.05kW, timestamp: 1584724677258 
Broker: 1048.233680368679 watts, PV: 8.587841055908925 watts, Broker/PV in kW: 1.06kW, timestamp: 1584724677369 
Broker: 1049.865548110981 watts, PV: 12.573513835534232 watts, Broker/PV in kW: 1.06kW, timestamp: 1584724677470 
Broker: 1050.205605837815 watts, PV: 10.942381034395904 watts, Broker/PV in kW: 1.06kW, timestamp: 1584724677559 
Broker: 1052.158265685578 watts, PV: 6.747020433091668 watts, Broker/PV in kW: 1.06kW, timestamp: 1584724677661 
Broker: 1052.7776656180233 watts, PV: 12.607277585656181 watts, Broker/PV in kW: 1.07kW, timestamp: 1584724677778 
Broker: 1054.326282608943 watts, PV: 4.786638713249576 watts, Broker/PV in kW: 1.06kW, timestamp: 1584724677872 
Broker: 1054.4240071714069 watts, PV: 7.267803560105346 watts, Broker/PV in kW: 1.06kW, timestamp: 1584724677972 
Broker: 1055.739918318061 watts, PV: 2.8176314041446426 watts, Broker/PV in kW: 1.06kW, timestamp: 1584724678074 
Broker: 1056.2854178526372 watts, PV: 12.457999944510938 watts, Broker/PV in kW: 1.07kW, timestamp: 1584724678189 
Broker: 1057.8224810126285 watts, PV: 5.3109430578557415 watts, Broker/PV in kW: 1.06kW, timestamp: 1584724678286 
Broker: 1059.4265534160202 watts, PV: 8.240801598572176 watts, Broker/PV in kW: 1.07kW, timestamp: 1584724678390 
Broker: 1059.5265228078752 watts, PV: 10.452973091079315 watts, Broker/PV in kW: 1.07kW, timestamp: 1584724678499 
Broker: 1060.7177777651843 watts, PV: 19.713949565779366 watts, Broker/PV in kW: 1.08kW, timestamp: 1584724678592 
Broker: 1061.7361929775 watts, PV: 3.6737702709860187 watts, Broker/PV in kW: 1.07kW, timestamp: 1584724678691 
Broker: 1063.1801065890334 watts, PV: 2.739405485355646 watts, Broker/PV in kW: 1.07kW, timestamp: 1584724678795 
Broker: 1065.045343069089 watts, PV: 2.913332370667434 watts, Broker/PV in kW: 1.07kW, timestamp: 1584724678900 
Broker: 1066.6499016817174 watts, PV: 4.824319440895817 watts, Broker/PV in kW: 1.07kW, timestamp: 1584724679005 
Broker: 1067.661635841507 watts, PV: 16.56166742990393 watts, Broker/PV in kW: 1.08kW, timestamp: 1584724679108 
Broker: 1068.3007731367484 watts, PV: 3.475586792980505 watts, Broker/PV in kW: 1.07kW, timestamp: 1584724679210 
Broker: 1069.947767253112 watts, PV: 12.592323708211293 watts, Broker/PV in kW: 1.08kW, timestamp: 1584724679331 
Broker: 1070.2646566989347 watts, PV: 4.782687876355118 watts, Broker/PV in kW: 1.08kW, timestamp: 1584724679427 
Broker: 1071.633920188764 watts, PV: 18.940504625538637 watts, Broker/PV in kW: 1.09kW, timestamp: 1584724679517 
Broker: 1072.7766783398672 watts, PV: 14.21684856288107 watts, Broker/PV in kW: 1.09kW, timestamp: 1584724679645 
Broker: 1073.833781432005 watts, PV: 0.39717974711084736 watts, Broker/PV in kW: 1.07kW, timestamp: 1584724679726 
Broker: 1074.5667219352636 watts, PV: 4.759177081513299 watts, Broker/PV in kW: 1.08kW, timestamp: 1584724679828 
Broker: 1076.0676117380904 watts, PV: 18.265728505306637 watts, Broker/PV in kW: 1.09kW, timestamp: 1584724679934 
Broker: 1077.2698832034537 watts, PV: 4.105632022647656 watts, Broker/PV in kW: 1.08kW, timestamp: 1584724680030 
Broker: 1077.5731202832471 watts, PV: 13.287306943229868 watts, Broker/PV in kW: 1.09kW, timestamp: 1584724680133 
Broker: 1077.6328695815757 watts, PV: 16.21937827226857 watts, Broker/PV in kW: 1.09kW, timestamp: 1584724680236 
Broker: 1079.4036145645168 watts, PV: 14.53718632092901 watts, Broker/PV in kW: 1.09kW, timestamp: 1584724680363 
Broker: 1079.7335786800274 watts, PV: 14.662220013771105 watts, Broker/PV in kW: 1.09kW, timestamp: 1584724680449 
Broker: 1081.200318918645 watts, PV: 1.3827349250153897 watts, Broker/PV in kW: 1.08kW, timestamp: 1584724680551 
Broker: 1081.8973291458533 watts, PV: 7.526432967609242 watts, Broker/PV in kW: 1.09kW, timestamp: 1584724680646 
Broker: 1081.933378249293 watts, PV: 4.510775286207687 watts, Broker/PV in kW: 1.09kW, timestamp: 1584724680754 
Broker: 1083.575239106443 watts, PV: 14.215421491510103 watts, Broker/PV in kW: 1.1kW, timestamp: 1584724680856 
Broker: 1084.384044737173 watts, PV: 10.014870282939704 watts, Broker/PV in kW: 1.09kW, timestamp: 1584724680956 
Broker: 1084.6649269973427 watts, PV: 18.232628969894154 watts, Broker/PV in kW: 1.1kW, timestamp: 1584724681061 
Broker: 1085.6552455887868 watts, PV: 12.835354330991414 watts, Broker/PV in kW: 1.1kW, timestamp: 1584724681165 
Broker: 1086.6791396289334 watts, PV: 16.974879693484823 watts, Broker/PV in kW: 1.1kW, timestamp: 1584724681262 
Broker: 1088.5126619706007 watts, PV: 3.6803014770715414 watts, Broker/PV in kW: 1.09kW, timestamp: 1584724681368 
Broker: 1089.1806426976364 watts, PV: 15.994909358003163 watts, Broker/PV in kW: 1.11kW, timestamp: 1584724681467 
Broker: 1090.0601270676455 watts, PV: 10.499425882134116 watts, Broker/PV in kW: 1.1kW, timestamp: 1584724681571 
Broker: 1090.9036074897112 watts, PV: 2.228799670698911 watts, Broker/PV in kW: 1.09kW, timestamp: 1584724681680 
Broker: 1091.664712425543 watts, PV: 3.8129226321214915 watts, Broker/PV in kW: 1.1kW, timestamp: 1584724681780 
Broker: 1092.9130844041479 watts, PV: 13.779226803113843 watts, Broker/PV in kW: 1.11kW, timestamp: 1584724681883 
Broker: 1094.4672028514315 watts, PV: 11.812069636084761 watts, Broker/PV in kW: 1.11kW, timestamp: 1584724681986 
Broker: 1095.2868533094202 watts, PV: 1.671615112993674 watts, Broker/PV in kW: 1.1kW, timestamp: 1584724682109 
Broker: 1095.7805732608642 watts, PV: 1.6075505947663205 watts, Broker/PV in kW: 1.1kW, timestamp: 1584724682195 
Broker: 1097.6551716970764 watts, PV: 10.804602016963631 watts, Broker/PV in kW: 1.11kW, timestamp: 1584724682305 
Broker: 1098.520089629581 watts, PV: 19.421413897335317 watts, Broker/PV in kW: 1.12kW, timestamp: 1584724682406 
Broker: 1098.6330737049718 watts, PV: 2.891729696100942 watts, Broker/PV in kW: 1.1kW, timestamp: 1584724682502 
Broker: 1098.891787250127 watts, PV: 7.145398919744488 watts, Broker/PV in kW: 1.11kW, timestamp: 1584724682606 
Broker: 1100.499080828749 watts, PV: 10.23905036487057 watts, Broker/PV in kW: 1.11kW, timestamp: 1584724682711 
Broker: 1101.9794511881096 watts, PV: 14.051724482761504 watts, Broker/PV in kW: 1.12kW, timestamp: 1584724682815 
Broker: 1103.7732976960008 watts, PV: 4.612741580674746 watts, Broker/PV in kW: 1.11kW, timestamp: 1584724682922 
Broker: 1104.324736294391 watts, PV: 5.164951782626188 watts, Broker/PV in kW: 1.11kW, timestamp: 1584724683017 
Broker: 1105.9630072561947 watts, PV: 15.326899860250531 watts, Broker/PV in kW: 1.12kW, timestamp: 1584724683117 
Broker: 1107.7509633635902 watts, PV: 16.936298301268874 watts, Broker/PV in kW: 1.12kW, timestamp: 1584724683220 
Broker: 1108.7810779460524 watts, PV: 16.53165533662333 watts, Broker/PV in kW: 1.13kW, timestamp: 1584724683319 
Broker: 1110.0325510815455 watts, PV: 17.57801752237603 watts, Broker/PV in kW: 1.13kW, timestamp: 1584724683421 
Broker: 1110.1543591750449 watts, PV: 6.545282310208478 watts, Broker/PV in kW: 1.12kW, timestamp: 1584724683524 
Broker: 1111.2824150453573 watts, PV: 7.406589816873925 watts, Broker/PV in kW: 1.12kW, timestamp: 1584724683628 
Broker: 1112.456733367931 watts, PV: 8.985558729968295 watts, Broker/PV in kW: 1.12kW, timestamp: 1584724683726 
Broker: 1112.5764588424627 watts, PV: 6.4408290362668374 watts, Broker/PV in kW: 1.12kW, timestamp: 1584724683841 
Broker: 1113.2112241771104 watts, PV: 8.104694549102778 watts, Broker/PV in kW: 1.12kW, timestamp: 1584724683935 
Broker: 1115.0761761908009 watts, PV: 4.395511276637274 watts, Broker/PV in kW: 1.12kW, timestamp: 1584724684029 
Broker: 1116.0323612391792 watts, PV: 2.8015291330808045 watts, Broker/PV in kW: 1.12kW, timestamp: 1584724684135 
Broker: 1117.1990635110992 watts, PV: 5.331431325803293 watts, Broker/PV in kW: 1.12kW, timestamp: 1584724684235 
Broker: 1117.9757290909595 watts, PV: 17.463764477705126 watts, Broker/PV in kW: 1.14kW, timestamp: 1584724684336 
Broker: 1119.6002492082 watts, PV: 7.940194588933855 watts, Broker/PV in kW: 1.13kW, timestamp: 1584724684435 
Broker: 1120.4110733149412 watts, PV: 2.841264293136123 watts, Broker/PV in kW: 1.12kW, timestamp: 1584724684546 
Broker: 1121.3979476181719 watts, PV: 0.19075456588732997 watts, Broker/PV in kW: 1.12kW, timestamp: 1584724684638 
Broker: 1122.1777893935125 watts, PV: 18.09315385038291 watts, Broker/PV in kW: 1.14kW, timestamp: 1584724684739 
Broker: 1122.8004374707832 watts, PV: 5.675043289274493 watts, Broker/PV in kW: 1.13kW, timestamp: 1584724684844 
Broker: 1123.197382737463 watts, PV: 6.67205090004936 watts, Broker/PV in kW: 1.13kW, timestamp: 1584724684941 
Broker: 1123.353206071175 watts, PV: 10.702144105226443 watts, Broker/PV in kW: 1.13kW, timestamp: 1584724685044 
Broker: 1125.2832022891225 watts, PV: 3.821742961191217 watts, Broker/PV in kW: 1.13kW, timestamp: 1584724685145 
Broker: 1125.3116769237838 watts, PV: 16.717178818471915 watts, Broker/PV in kW: 1.14kW, timestamp: 1584724685245 
Broker: 1126.117223106644 watts, PV: 16.368225110449465 watts, Broker/PV in kW: 1.14kW, timestamp: 1584724685350 
Broker: 1126.418557072534 watts, PV: 7.780512347183519 watts, Broker/PV in kW: 1.13kW, timestamp: 1584724685449 
Broker: 1126.6376750394877 watts, PV: 1.7967430215323033 watts, Broker/PV in kW: 1.13kW, timestamp: 1584724685564 
Broker: 1128.3724698690662 watts, PV: 16.44910015067303 watts, Broker/PV in kW: 1.14kW, timestamp: 1584724685649 
Broker: 1130.1743145000512 watts, PV: 9.517127849472251 watts, Broker/PV in kW: 1.14kW, timestamp: 1584724685751 
Broker: 1131.8879639852819 watts, PV: 19.81174072987772 watts, Broker/PV in kW: 1.15kW, timestamp: 1584724685857 
Broker: 1133.8854767452297 watts, PV: 17.488876242329564 watts, Broker/PV in kW: 1.15kW, timestamp: 1584724685951 
Broker: 1134.5565433731372 watts, PV: 2.942581250345171 watts, Broker/PV in kW: 1.14kW, timestamp: 1584724686055 
Broker: 1135.5018744281504 watts, PV: 3.289548907578159 watts, Broker/PV in kW: 1.14kW, timestamp: 1584724686154 
Broker: 1136.55613746307 watts, PV: 1.9636704640277447 watts, Broker/PV in kW: 1.14kW, timestamp: 1584724686250 
Broker: 1137.7304635044436 watts, PV: 0.9170656699524748 watts, Broker/PV in kW: 1.14kW, timestamp: 1584724686361 
Broker: 1138.4636715176603 watts, PV: 0.5327560408547383 watts, Broker/PV in kW: 1.14kW, timestamp: 1584724686463 
Broker: 1138.7199743319195 watts, PV: 16.8750401346394 watts, Broker/PV in kW: 1.16kW, timestamp: 1584724686566 
Broker: 1139.8116689166611 watts, PV: 0.25242058483220475 watts, Broker/PV in kW: 1.14kW, timestamp: 1584724686665 
Broker: 1139.961018777914 watts, PV: 12.01474252107872 watts, Broker/PV in kW: 1.15kW, timestamp: 1584724686770 
Broker: 1141.7989645855255 watts, PV: 4.163960663097899 watts, Broker/PV in kW: 1.15kW, timestamp: 1584724686872 
Broker: 1143.45612610097 watts, PV: 13.590264333810973 watts, Broker/PV in kW: 1.16kW, timestamp: 1584724686974 
Broker: 1143.9096313835532 watts, PV: 6.223632908121104 watts, Broker/PV in kW: 1.15kW, timestamp: 1584724687076 
Broker: 1145.5948411883687 watts, PV: 10.881043459320985 watts, Broker/PV in kW: 1.16kW, timestamp: 1584724687183 
Broker: 1147.4228245717043 watts, PV: 0.7675499957214083 watts, Broker/PV in kW: 1.15kW, timestamp: 1584724687282 
Broker: 1148.1650205069836 watts, PV: 5.144011408692606 watts, Broker/PV in kW: 1.15kW, timestamp: 1584724687381 
Broker: 1149.382991397083 watts, PV: 6.347344156606627 watts, Broker/PV in kW: 1.16kW, timestamp: 1584724687491 
Broker: 1150.6870428876325 watts, PV: 0.17345684411195883 watts, Broker/PV in kW: 1.15kW, timestamp: 1584724687591 
Broker: 1151.6239986477615 watts, PV: 17.329498667676905 watts, Broker/PV in kW: 1.17kW, timestamp: 1584724687699 
Broker: 1152.8388515270697 watts, PV: 14.132574601567022 watts, Broker/PV in kW: 1.17kW, timestamp: 1584724687801 
Broker: 1153.7650790024718 watts, PV: 19.34056429875657 watts, Broker/PV in kW: 1.17kW, timestamp: 1584724687902 
Broker: 1154.7317558548564 watts, PV: 13.72077447168262 watts, Broker/PV in kW: 1.17kW, timestamp: 1584724688010 
Broker: 1155.0469898355516 watts, PV: 8.018928156646243 watts, Broker/PV in kW: 1.16kW, timestamp: 1584724688111 
Broker: 1156.9844003429928 watts, PV: 19.437196718644906 watts, Broker/PV in kW: 1.18kW, timestamp: 1584724688223 
Broker: 1158.1197401534703 watts, PV: 18.02848689885023 watts, Broker/PV in kW: 1.18kW, timestamp: 1584724688316 
Broker: 1158.3831000047694 watts, PV: 11.477600456044383 watts, Broker/PV in kW: 1.17kW, timestamp: 1584724688433 
Broker: 1159.8998504473454 watts, PV: 15.141648556834566 watts, Broker/PV in kW: 1.18kW, timestamp: 1584724688528 
Broker: 1159.9375002942172 watts, PV: 2.2366864941772135 watts, Broker/PV in kW: 1.16kW, timestamp: 1584724688624 
Broker: 1161.5561783962758 watts, PV: 2.764000874611652 watts, Broker/PV in kW: 1.16kW, timestamp: 1584724688725 
Broker: 1162.5768569847144 watts, PV: 15.448830076442373 watts, Broker/PV in kW: 1.18kW, timestamp: 1584724688835 
Broker: 1164.4972959228103 watts, PV: 19.788117665682048 watts, Broker/PV in kW: 1.18kW, timestamp: 1584724688950 
Broker: 1164.7696980507067 watts, PV: 6.739410000905557 watts, Broker/PV in kW: 1.17kW, timestamp: 1584724689050 
Broker: 1166.21408845189 watts, PV: 9.5078154161966 watts, Broker/PV in kW: 1.18kW, timestamp: 1584724689143 
Broker: 1166.657241746183 watts, PV: 4.975304756063212 watts, Broker/PV in kW: 1.17kW, timestamp: 1584724689244 
Broker: 1168.6049983877588 watts, PV: 18.938946020466844 watts, Broker/PV in kW: 1.19kW, timestamp: 1584724689352 
Broker: 1168.6737198694834 watts, PV: 5.426851592015467 watts, Broker/PV in kW: 1.17kW, timestamp: 1584724689449 
Broker: 1170.3770382675723 watts, PV: 8.022050426349416 watts, Broker/PV in kW: 1.18kW, timestamp: 1584724689558 
Broker: 1172.0599143829083 watts, PV: 8.628016241429442 watts, Broker/PV in kW: 1.18kW, timestamp: 1584724689660 
Broker: 1173.6103579829376 watts, PV: 8.763753110105728 watts, Broker/PV in kW: 1.18kW, timestamp: 1584724689762 
Broker: 1175.169343177654 watts, PV: 11.199058452776352 watts, Broker/PV in kW: 1.19kW, timestamp: 1584724689866 
Broker: 1176.1602738533536 watts, PV: 5.8713381395249264 watts, Broker/PV in kW: 1.18kW, timestamp: 1584724689976 
Broker: 1176.6070541777224 watts, PV: 10.455692426019834 watts, Broker/PV in kW: 1.19kW, timestamp: 1584724690076 
Broker: 1178.2709568358628 watts, PV: 8.34276590714381 watts, Broker/PV in kW: 1.19kW, timestamp: 1584724690186 
Broker: 1179.4444310247525 watts, PV: 10.373366883563978 watts, Broker/PV in kW: 1.19kW, timestamp: 1584724690283 
Broker: 1180.6250359201567 watts, PV: 1.3414859692172243 watts, Broker/PV in kW: 1.18kW, timestamp: 1584724690389 
Broker: 1180.6626433571355 watts, PV: 11.966858028972602 watts, Broker/PV in kW: 1.19kW, timestamp: 1584724690495 
Broker: 1181.0598066598611 watts, PV: 8.934705204874005 watts, Broker/PV in kW: 1.19kW, timestamp: 1584724690594 
Broker: 1181.7615260480795 watts, PV: 17.039256556107055 watts, Broker/PV in kW: 1.2kW, timestamp: 1584724690699 
Broker: 1183.12813890521 watts, PV: 15.675497957351645 watts, Broker/PV in kW: 1.2kW, timestamp: 1584724690804 
Broker: 1184.1313331100475 watts, PV: 2.412576790621559 watts, Broker/PV in kW: 1.19kW, timestamp: 1584724690896 
Broker: 1185.5090064070696 watts, PV: 8.932034113127925 watts, Broker/PV in kW: 1.19kW, timestamp: 1584724691004 
Broker: 1187.2021337789326 watts, PV: 7.431157116503959 watts, Broker/PV in kW: 1.19kW, timestamp: 1584724691104 
Broker: 1187.7847732668445 watts, PV: 1.3549476500301516 watts, Broker/PV in kW: 1.19kW, timestamp: 1584724691211 
Broker: 1187.8266647443497 watts, PV: 2.6250730437641145 watts, Broker/PV in kW: 1.19kW, timestamp: 1584724691314 
Broker: 1187.9371947053364 watts, PV: 3.019781321384425 watts, Broker/PV in kW: 1.19kW, timestamp: 1584724691416 
Broker: 1188.0878221025653 watts, PV: 0.05203015711507053 watts, Broker/PV in kW: 1.19kW, timestamp: 1584724691523 
Broker: 1189.8810774251033 watts, PV: 4.725592382657036 watts, Broker/PV in kW: 1.19kW, timestamp: 1584724691627 
Broker: 1190.1096098316466 watts, PV: 4.659567156140878 watts, Broker/PV in kW: 1.19kW, timestamp: 1584724691726 
Broker: 1191.5682030007392 watts, PV: 7.134420547791165 watts, Broker/PV in kW: 1.2kW, timestamp: 1584724691829 
Broker: 1192.742076233135 watts, PV: 9.603312258640791 watts, Broker/PV in kW: 1.2kW, timestamp: 1584724691941 
Broker: 1192.7559853767254 watts, PV: 19.64639390612987 watts, Broker/PV in kW: 1.21kW, timestamp: 1584724692035 
Broker: 1194.2905540030802 watts, PV: 16.179445521479735 watts, Broker/PV in kW: 1.21kW, timestamp: 1584724692137 
Broker: 1195.6936462590838 watts, PV: 13.965765299603294 watts, Broker/PV in kW: 1.21kW, timestamp: 1584724692239 
Broker: 1197.0168848392655 watts, PV: 5.0045734442041345 watts, Broker/PV in kW: 1.2kW, timestamp: 1584724692342 
Broker: 1197.9982289201293 watts, PV: 14.277890362292641 watts, Broker/PV in kW: 1.21kW, timestamp: 1584724692445 
Broker: 1198.804307521695 watts, PV: 8.075133725790892 watts, Broker/PV in kW: 1.21kW, timestamp: 1584724692552 
Broker: 1199.5687131255984 watts, PV: 9.568759611859456 watts, Broker/PV in kW: 1.21kW, timestamp: 1584724692649 
Broker: 1200.7933050013198 watts, PV: 10.418657292526316 watts, Broker/PV in kW: 1.21kW, timestamp: 1584724692751 
Broker: 1202.2084790760362 watts, PV: 11.15927325532442 watts, Broker/PV in kW: 1.21kW, timestamp: 1584724692853 
Broker: 1203.8983382146864 watts, PV: 17.691857609671597 watts, Broker/PV in kW: 1.22kW, timestamp: 1584724692955 
Broker: 1205.5026987059084 watts, PV: 5.6199101666239 watts, Broker/PV in kW: 1.21kW, timestamp: 1584724693059 
Broker: 1206.7123004804976 watts, PV: 8.87830216669598 watts, Broker/PV in kW: 1.22kW, timestamp: 1584724693163 
Broker: 1207.1082580446214 watts, PV: 19.060179644267134 watts, Broker/PV in kW: 1.23kW, timestamp: 1584724693277 
Broker: 1207.469126146831 watts, PV: 12.869279746892271 watts, Broker/PV in kW: 1.22kW, timestamp: 1584724693373 
Broker: 1208.5780470948844 watts, PV: 6.904931209294931 watts, Broker/PV in kW: 1.22kW, timestamp: 1584724693473 
Broker: 1209.0774068480223 watts, PV: 0.8827137162776566 watts, Broker/PV in kW: 1.21kW, timestamp: 1584724693573 
